fid,lat,lon
1,37.4244807,-122.19165
2,37.4243366,-122.1900367
3,37.4237572,-122.1887922
4,37.4228541,-122.1869468
5,37.4222576,-122.185831
6,37.422002,-122.1846937
7,37.4220361,-122.1835779
8,37.421985,-122.1826553
9,37.4214396,-122.1803378
10,37.4202808,-122.1767759
11,37.4193109,-122.1758154
12,37.4174704,-122.1745494
13,37.4167034,-122.1735623
14,37.4152548,-122.1715238
15,37.413329,-122.1683266
16,37.4130082,-122.1671852
17,37.4123776,-122.1647175
18,37.4117129,-122.1632155
19,37.4104346,-122.1613058
20,37.4104941,-122.1609758
21,37.4136301,-122.1575855
22,37.4145164,-122.1573065
23,37.4169876,-122.1574996
24,37.4179078,-122.1574567
25,37.4193735,-122.1563195
26,37.423123,-122.1531175
27,37.4276558,-122.149298
28,37.4282011,-122.150092
29,37.4314361,-122.1536075
30,37.4399552,-122.1632634
31,37.4462076,-122.1710097
32,37.4445551,-122.1731554
33,37.4422211,-122.1737563
34,37.4402278,-122.1744
35,37.439427,-122.1754943
36,37.4350926,-122.1813203
37,37.4297948,-122.1885778
38,37.4290579,-122.1895809
39,37.4282016,-122.1903105
40,37.4266236,-122.1912476
41,37.4257929,-122.1921811
42,37.425009,-122.1916071
43,37.4244807,-122.19165
